Date,Close/Last,Volume,Open,High,Low
1175,$152.99,77167870,$151.19,$153.245,$149.92
1174,$152.59,73695890,$151.28,$153.40,$150.10
1173,$150.47,84457120,$147.805,$153.14,$147.70
1170,$148.50,68572400,$150.21,$150.94,$147.6096
1169,$150.59,53833580,$153.559,$154.535,$150.225
1168,$152.87,47204790,$152.81,$153.47,$151.83
1167,$151.60,56182030,$153.70,$154.0299,$151.13
1166,$153.83,87558030,$153.785,$156.30,$153.46
1163,$151.03,70732300,$148.045,$151.11,$147.33
1162,$145.91,52279760,$144.38,$146.71,$143.90
1161,$145.31,55478990,$146.83,$147.2285,$145.01
1160,$147.41,50547000,$147.05,$149.08,$146.83
1159,$147.92,44998470,$147.71,$149.17,$147.45
1156,$146.71,55469610,$147.11,$147.19,$145.7202
1155,$149.40,48394250,$150.09,$150.34,$147.24
1154,$148.91,51011310,$148.87,$149.95,$147.16
1153,$148.48,58867230,$150.20,$151.30,$148.405
1149,$152.55,59144120,$152.35,$153.00,$150.85
1148,$153.71,68167940,$153.51,$156.33,$153.3475
1147,$155.33,65669250,$153.11,$155.50,$152.88
1146,$153.20,61707570,$152.12,$153.77,$150.86
1145,$153.85,62199010,$150.952,$154.26,$150.92
1142,$151.01,57450710,$149.46,$151.3401,$149.22
1141,$150.87,56007140,$153.775,$154.33,$150.42
1140,$151.92,64120080,$153.88,$154.58,$151.168
1139,$154.65,83322550,$150.64,$155.23,$150.64
1138,$151.73,69858310,$152.575,$153.10,$150.78
1135,$154.50,154357300,$148.03,$157.38,$147.83
1134,$150.82,118339000,$148.90,$151.18,$148.17
1133,$145.43,77663630,$143.97,$146.61,$141.32
1132,$144.29,65874460,$142.70,$144.34,$142.28
1131,$143.00,64015270,$144.955,$145.55,$142.85
1128,$145.93,70555840,$143.155,$147.23,$143.08
1127,$143.96,54105070,$143.17,$144.25,$141.90
1126,$141.86,65799350,$140.89,$142.43,$138.81
1125,$142.53,66435140,$140.305,$143.16,$140.30
1124,$141.11,81760310,$138.12,$143.315,$137.90
1121,$137.87,80223630,$135.28,$138.02,$134.22
1120,$135.27,58280410,$134.08,$136.25,$133.77
1119,$135.21,69672800,$136.815,$138.61,$135.03
1118,$135.94,63646630,$134.83,$137.29,$134.13
1114,$134.76,57809720,$132.03,$134.92,$131.66
